Client_ID,Industry,Loan_Amount_EUR,Self_Reported_Emissions_Tons,Audited_Emissions_Tons,Azure_Security_Flag,ESG_Risk_Rating,Emissions_Discrepancy_%,Predicted_Fraud_Probability_%
CLI-0043,Manufacturing,36932359.27,38289.39,54041.5,1,34.1,41.14,99.0
CLI-0044,Energy,39774535.84,19214.48,18597.88,0,23.7,-3.21,0.0
CLI-0045,Energy,5720195.11,20230.45,20012.4,0,20.6,-1.08,0.0
CLI-0046,Logistics,41494555.46,37958.98,39658.71,0,10.7,4.48,0.0
CLI-0047,Energy,14791978.18,46002.9,44352.31,0,19.5,-3.59,1.0
CLI-0048,Agriculture,57858867.46,47595.5,48849.72,0,18.2,2.64,0.0
CLI-0049,Energy,13176450.03,29279.01,37044.08,1,28.0,26.52,75.0
CLI-0050,Manufacturing,27804326.8,18498.94,18279.94,0,23.1,-1.18,2.0
CLI-0051,Manufacturing,9694231.74,39589.91,40679.56,0,29.4,2.75,2.0
CLI-0052,Manufacturing,59828083.85,13299.07,13089.73,0,21.2,-1.57,4.0
CLI-0053,Manufacturing,32620725.57,28639.63,45153.28,1,31.2,57.66,99.0
CLI-0054,Agriculture,37746175.95,18570.34,17912.99,0,11.4,-3.54,0.0
CLI-0055,Retail,8689206.26,33174.92,34628.19,0,18.4,4.38,1.0
CLI-0056,Logistics,46247825.87,12779.55,13313.28,0,12.3,4.18,1.0
CLI-0057,Manufacturing,16544807.62,10388.05,17997.1,1,33.5,73.25,99.0
CLI-0058,Energy,54392985.92,45993.72,47411.56,0,28.8,3.08,9.0
CLI-0059,Manufacturing,16282680.23,5988.38,7434.11,1,31.6,24.14,99.0
CLI-0060,Energy,15487824.64,25791.94,25311.44,0,11.5,-1.86,1.0
CLI-0061,Energy,7010231.73,11821.79,11982.15,0,17.1,1.36,1.0
CLI-0062,Manufacturing,30963681.98,2907.57,2865.69,0,21.0,-1.44,3.0
CLI-0063,Agriculture,36066262.33,2764.92,2667.73,0,18.1,-3.52,6.0
CLI-0064,Energy,8613975.17,9585.87,9678.34,0,26.7,0.96,2.0
CLI-0065,Energy,47654018.92,43471.75,44838.43,0,26.3,3.14,4.0
CLI-0066,Manufacturing,29930885.91,14841.46,14666.51,0,22.2,-1.18,3.0
CLI-0067,Energy,33841464.81,47572.5,45823.11,0,17.5,-3.68,0.0
CLI-0068,Energy,29241951.08,29499.49,28604.74,0,15.1,-3.03,0.0
CLI-0069,Manufacturing,27041968.35,22394.1,30063.85,1,20.1,34.25,70.0
CLI-0070,Manufacturing,35780218.22,29424.35,46657.52,1,28.1,58.57,73.0
CLI-0071,Logistics,13538213.53,26318.22,26834.27,0,18.3,1.96,3.0
CLI-0072,Agriculture,15006047.18,38180.04,37655.07,0,23.5,-1.37,0.0
CLI-0073,Agriculture,52398209.16,14842.31,15323.2,0,23.2,3.24,4.0
CLI-0074,Energy,57036350.42,18299.47,17757.97,0,11.4,-2.96,0.0
CLI-0075,Agriculture,25532012.4,44810.62,44671.89,0,17.9,-0.31,1.0
CLI-0076,Energy,19890957.02,47376.37,48802.11,0,13.6,3.01,0.0
CLI-0077,Logistics,40419974.88,44735.35,43304.53,0,13.1,-3.2,0.0
CLI-0078,Manufacturing,27480379.41,21552.95,20712.09,0,26.5,-3.9,11.0
CLI-0079,Manufacturing,6396249.56,39237.91,40743.41,0,10.8,3.84,0.0
CLI-0080,Manufacturing,13588392.86,24340.45,23958.13,0,18.4,-1.57,3.0
CLI-0081,Agriculture,44378472.59,25379.45,25846.1,0,13.4,1.84,0.0
CLI-0082,Logistics,41240816.81,11029.33,10505.82,0,27.6,-4.75,2.0
CLI-0083,Agriculture,6490279.59,29965.38,30534.86,0,21.1,1.9,0.0
CLI-0084,Agriculture,17208468.91,10120.66,9934.54,0,14.6,-1.84,0.0
CLI-0085,Logistics,17709113.81,17246.67,16480.47,0,20.0,-4.44,0.0
CLI-0086,Logistics,41954100.9,42896.48,67171.07,1,32.0,56.59,99.0
CLI-0087,Logistics,6084079.58,11146.71,11020.54,0,29.2,-1.13,17.0
CLI-0088,Logistics,10725972.01,4486.76,4298.58,0,14.4,-4.19,0.0
CLI-0089,Manufacturing,48995384.7,4381.37,4226.78,0,27.7,-3.53,0.0
CLI-0090,Retail,14819956.41,47098.44,46146.94,0,28.7,-2.02,2.0
CLI-0091,Retail,40901035.93,25839.1,24779.08,0,28.3,-4.1,14.0
CLI-0092,Logistics,18100052.96,21061.19,21926.44,0,22.7,4.11,1.0
CLI-0093,Retail,10469276.6,40733.05,38721.03,0,22.6,-4.94,1.0
CLI-0094,Retail,18374470.5,41955.47,62526.91,1,24.3,49.03,71.0
CLI-0095,Logistics,44724681.25,17277.36,16945.08,0,25.0,-1.92,2.0
CLI-0096,Retail,52063305.75,34987.28,36477.95,0,20.6,4.26,4.0
CLI-0097,Agriculture,50662092.55,38785.02,37472.9,0,23.5,-3.38,0.0
CLI-0098,Energy,26845094.13,33077.88,34618.75,0,18.6,4.66,2.0
CLI-0099,Energy,41744682.51,8428.16,8180.2,0,24.6,-2.94,1.0
CLI-0100,Logistics,16274136.25,43918.27,44979.19,0,26.5,2.42,3.0
CLI-0101,Manufacturing,21123125.16,27415.63,27543.6,0,12.9,0.47,2.0
CLI-0102,Logistics,54298470.02,14841.15,15411.76,0,26.7,3.84,4.0
CLI-0103,Manufacturing,5715105.79,21836.18,21954.08,0,20.8,0.54,0.0
CLI-0104,Energy,9702969.2,2840.98,2850.8,0,26.9,0.35,0.0
CLI-0105,Logistics,16433744.03,7265.47,7044.21,0,18.6,-3.05,0.0
CLI-0106,Agriculture,6459271.21,38511.79,37226.38,0,17.6,-3.34,0.0
CLI-0107,Retail,14978948.93,1000.57,1042.24,0,28.3,4.16,11.0
CLI-0108,Manufacturing,37067285.85,21411.73,21043.1,0,15.0,-1.72,1.0
CLI-0109,Retail,28178350.28,26603.0,26262.7,0,26.9,-1.28,7.0
CLI-0110,Retail,54096944.11,3677.09,3772.63,0,19.7,2.6,0.0
CLI-0111,Logistics,49959395.9,48680.83,68313.52,1,34.8,40.33,96.0
CLI-0112,Retail,23799954.34,12080.14,12367.56,0,16.2,2.38,0.0
CLI-0113,Agriculture,19268288.84,15905.74,16060.71,0,21.5,0.97,1.0
CLI-0114,Retail,25883082.45,15893.18,16498.54,0,16.5,3.81,4.0
CLI-0115,Logistics,37466221.84,12290.42,11736.87,0,10.8,-4.5,0.0
CLI-0116,Agriculture,19743500.25,1072.22,1452.04,1,25.1,35.42,69.0
CLI-0117,Energy,39328189.93,36737.89,49088.7,1,22.6,33.62,62.0
CLI-0118,Retail,27517640.87,48375.43,50403.37,0,29.6,4.19,20.0
CLI-0119,Logistics,35362594.95,11990.38,11898.98,0,29.3,-0.76,7.0
CLI-0120,Energy,28986959.1,33489.31,32960.62,0,17.9,-1.58,1.0
CLI-0121,Energy,21195616.77,37352.92,66373.54,1,34.0,77.69,97.0
CLI-0122,Manufacturing,57164931.88,42572.84,42526.22,0,16.9,-0.11,0.0
CLI-0123,Agriculture,46998318.68,21708.83,21386.78,0,23.4,-1.48,0.0
CLI-0124,Retail,12706224.67,15843.61,16492.48,0,26.1,4.1,7.0
CLI-0125,Logistics,52765738.67,16939.46,17056.27,0,28.9,0.69,5.0
CLI-0126,Manufacturing,31808715.9,35918.45,36860.14,0,18.0,2.62,3.0
CLI-0127,Agriculture,54200372.48,41022.19,42301.29,0,25.7,3.12,3.0
CLI-0128,Manufacturing,48992039.08,9899.08,9742.53,0,15.3,-1.58,0.0
CLI-0129,Agriculture,28386742.75,19176.11,19048.96,0,29.8,-0.66,8.0
CLI-0130,Agriculture,6235811.96,45195.07,46769.99,0,10.5,3.48,1.0
CLI-0131,Retail,19777254.77,40527.98,39973.78,0,22.1,-1.37,1.0
CLI-0132,Agriculture,34789881.81,49258.06,50705.93,0,23.2,2.94,1.0
CLI-0133,Manufacturing,39841302.09,37958.16,39632.09,0,23.8,4.41,8.0
CLI-0134,Agriculture,19183822.7,20266.56,20516.27,0,12.4,1.23,0.0
CLI-0135,Retail,12664584.07,29941.25,30664.71,0,28.8,2.42,23.0
CLI-0136,Retail,50921163.02,33389.7,34408.41,0,13.6,3.05,1.0
CLI-0137,Manufacturing,59142119.94,4844.33,5011.48,0,22.5,3.45,0.0
CLI-0138,Energy,33912960.03,27680.35,27389.85,0,14.5,-1.05,0.0
CLI-0139,Energy,14442360.72,35756.72,34152.19,0,16.1,-4.49,1.0
CLI-0140,Agriculture,19976902.96,9198.74,9108.48,0,20.9,-0.98,0.0
CLI-0141,Logistics,6011487.21,39250.95,39932.96,0,18.3,1.74,0.0
CLI-0142,Agriculture,55286434.36,29604.87,29457.88,0,13.2,-0.5,0.0
CLI-0143,Manufacturing,11476309.56,47658.87,48845.4,0,13.4,2.49,0.0
CLI-0144,Manufacturing,36708406.15,3078.69,3034.66,0,18.4,-1.43,6.0
CLI-0145,Manufacturing,20073037.14,14000.98,14189.64,0,25.1,1.35,3.0
CLI-0146,Manufacturing,35479790.14,30476.14,29520.47,0,28.0,-3.14,21.0
CLI-0147,Manufacturing,40828121.36,15531.44,15918.75,0,11.7,2.49,0.0
CLI-0148,Retail,50635799.2,36006.78,36171.32,0,17.9,0.46,0.0
CLI-0149,Energy,16353169.95,38191.26,37061.04,0,12.0,-2.96,0.0
CLI-0150,Manufacturing,5604770.58,6023.28,5897.94,0,10.3,-2.08,2.0
CLI-0151,Logistics,12528709.65,26178.87,26829.7,0,23.2,2.49,4.0
CLI-0152,Logistics,54501025.3,25935.64,25890.52,0,22.0,-0.17,6.0
CLI-0153,Logistics,53063954.27,19094.76,18552.53,0,13.3,-2.84,0.0
CLI-0154,Logistics,37857720.62,46713.32,48896.1,0,14.7,4.67,0.0
CLI-0155,Retail,38028427.32,41547.81,42441.61,0,10.5,2.15,0.0
CLI-0156,Logistics,41577017.1,35163.26,36770.7,0,26.7,4.57,10.0
CLI-0157,Manufacturing,14645420.32,36002.01,35739.57,0,29.5,-0.73,2.0
CLI-0158,Agriculture,55292657.03,23624.09,23565.27,0,12.7,-0.25,0.0
CLI-0159,Logistics,28032378.87,46128.73,80207.4,1,24.9,73.88,65.0
CLI-0160,Retail,26072619.05,35035.18,56910.0,1,34.9,62.44,97.0
CLI-0161,Retail,33540473.79,36720.07,36524.45,0,28.5,-0.53,11.0
CLI-0162,Logistics,7583128.17,43222.85,41595.29,0,18.4,-3.77,0.0
CLI-0163,Agriculture,14145585.28,14429.51,14005.25,0,11.0,-2.94,1.0
CLI-0164,Logistics,45591848.9,40546.47,38522.97,0,10.8,-4.99,0.0
CLI-0165,Retail,9553926.74,10566.79,10079.94,0,21.5,-4.61,1.0
CLI-0166,Energy,38173366.02,17921.76,18777.14,0,17.9,4.77,5.0
CLI-0167,Manufacturing,18494201.03,17444.91,16995.45,0,10.6,-2.58,0.0
CLI-0168,Retail,26411258.77,48947.75,49747.12,0,21.7,1.63,4.0
CLI-0169,Logistics,20878155.52,42970.32,44427.44,0,10.2,3.39,0.0
CLI-0170,Manufacturing,24561999.41,35357.32,35536.44,0,25.7,0.51,7.0
CLI-0171,Logistics,44547524.79,36625.78,35355.39,0,16.1,-3.47,0.0
CLI-0172,Logistics,21341694.36,28541.57,29192.65,0,10.8,2.28,2.0
CLI-0173,Energy,36152255.22,47407.44,47882.71,0,21.8,1.0,0.0
CLI-0174,Manufacturing,31182772.12,25316.68,25902.13,0,18.0,2.31,2.0
CLI-0175,Manufacturing,41501914.09,19645.37,20175.3,0,29.5,2.7,1.0
CLI-0176,Energy,56525635.66,8988.73,9416.06,0,20.9,4.75,0.0
CLI-0177,Retail,45291465.35,39524.08,39814.83,0,15.5,0.74,0.0
CLI-0178,Logistics,16821720.82,36987.75,36402.02,0,24.2,-1.58,14.0
CLI-0179,Agriculture,6715072.43,19833.4,20127.86,0,15.4,1.48,0.0
CLI-0180,Logistics,19424522.44,2234.48,2773.13,1,42.1,24.11,99.0
CLI-0181,Logistics,37729286.19,42110.87,40508.05,0,17.5,-3.81,4.0
CLI-0182,Retail,7828419.74,1559.48,1532.63,0,21.0,-1.72,2.0
CLI-0183,Logistics,32300143.6,35481.29,59943.77,1,22.0,68.94,69.0
CLI-0184,Energy,37826356.69,48542.6,48026.28,0,18.5,-1.06,0.0
CLI-0185,Energy,23383413.99,22445.41,22385.79,0,26.6,-0.27,9.0
CLI-0186,Manufacturing,47400171.21,12513.7,12957.37,0,26.1,3.55,5.0
CLI-0187,Agriculture,10862903.92,35538.68,34970.08,0,14.5,-1.6,0.0
CLI-0188,Logistics,9132578.0,41039.28,42556.3,0,14.5,3.7,0.0
CLI-0189,Logistics,45050381.59,27775.09,26631.13,0,26.3,-4.12,0.0
CLI-0190,Retail,32252022.39,48384.73,49724.01,0,28.6,2.77,1.0
CLI-0191,Energy,42862131.8,3531.77,3654.52,0,11.9,3.48,5.0
CLI-0192,Agriculture,28915503.62,25734.98,24916.14,0,19.0,-3.18,7.0
CLI-0193,Manufacturing,18552111.83,36204.24,35952.06,0,16.7,-0.7,0.0
CLI-0194,Energy,50050627.47,43269.38,41822.02,0,27.4,-3.34,7.0
CLI-0195,Manufacturing,48967873.34,9783.52,9985.65,0,11.7,2.07,0.0
CLI-0196,Retail,43208305.9,40200.17,40342.27,0,14.2,0.35,3.0
CLI-0197,Retail,19967982.55,28082.65,28462.67,0,25.0,1.35,6.0
CLI-0198,Logistics,37462686.68,20431.13,19811.02,0,11.0,-3.04,0.0
CLI-0199,Agriculture,24853564.33,7454.04,7239.17,0,19.9,-2.88,0.0
CLI-0200,Manufacturing,10037014.03,43399.49,41409.61,0,18.8,-4.59,0.0
CLI-0201,Energy,55452246.65,8706.39,12130.1,1,27.3,39.32,69.0
CLI-0202,Retail,12525024.7,16179.61,16758.73,0,17.9,3.58,0.0
CLI-0203,Logistics,57263054.46,15212.23,15466.16,0,20.6,1.67,0.0
CLI-0204,Logistics,29530317.51,43699.29,43416.98,0,13.2,-0.65,0.0
CLI-0205,Manufacturing,15182311.09,33962.45,35501.36,0,21.4,4.53,0.0
CLI-0206,Retail,34804552.11,40037.39,40915.19,0,26.1,2.19,4.0
CLI-0207,Agriculture,53012020.97,13272.93,23335.13,1,35.5,75.81,97.0
CLI-0208,Retail,45272368.75,31618.83,30856.51,0,13.1,-2.41,3.0
CLI-0209,Manufacturing,49360863.13,29015.55,27718.05,0,13.0,-4.47,0.0
CLI-0210,Manufacturing,41233085.17,41808.69,42753.92,0,15.4,2.26,0.0
CLI-0211,Retail,43075211.05,45398.27,43679.05,0,17.2,-3.79,4.0
CLI-0212,Manufacturing,51705760.84,1595.68,1564.21,0,18.2,-1.97,2.0
CLI-0213,Retail,18731740.49,34026.98,34137.47,0,23.6,0.32,1.0
CLI-0214,Energy,31918373.0,3539.95,3562.75,0,11.1,0.64,2.0
CLI-0215,Retail,17166519.3,27894.07,28174.64,0,10.7,1.01,1.0
CLI-0216,Retail,59321740.44,15094.0,14590.25,0,17.8,-3.34,1.0
CLI-0217,Manufacturing,56923263.68,16032.05,22891.24,1,35.1,42.78,98.0
CLI-0218,Manufacturing,7168474.63,18294.97,19154.5,0,13.9,4.7,0.0
CLI-0219,Logistics,43806634.49,31443.33,32159.08,0,22.8,2.28,4.0
CLI-0220,Logistics,55888657.46,17368.45,18102.45,0,15.2,4.23,0.0
CLI-0221,Energy,14931643.98,36902.25,37869.87,0,27.7,2.62,3.0
CLI-0222,Logistics,36236987.68,20821.84,32378.59,1,34.8,55.5,98.0
CLI-0223,Retail,55351856.37,4349.31,4421.81,0,15.9,1.67,2.0
CLI-0224,Manufacturing,6867028.82,39404.23,39890.4,0,14.6,1.23,0.0
CLI-0225,Logistics,43358114.7,15002.16,23425.6,1,28.1,56.15,68.0
CLI-0226,Logistics,21354195.41,22205.58,22269.21,0,14.8,0.29,6.0
CLI-0227,Energy,55841790.75,34586.75,48444.47,1,33.6,40.07,98.0
CLI-0228,Energy,58408203.48,17290.35,16767.41,0,26.5,-3.02,1.0
CLI-0229,Retail,56934656.9,3772.7,3887.83,0,23.5,3.05,1.0
CLI-0230,Manufacturing,31081781.92,19322.13,18714.98,0,26.5,-3.14,6.0
CLI-0231,Energy,52412345.8,47277.98,45315.78,0,17.9,-4.15,0.0
CLI-0232,Logistics,51450216.92,32444.99,47426.39,1,24.7,46.17,69.0
CLI-0233,Manufacturing,22550526.03,33902.48,33691.32,0,24.8,-0.62,9.0
CLI-0234,Manufacturing,50590351.08,31981.83,31267.85,0,17.2,-2.23,2.0
CLI-0235,Logistics,7035419.91,10750.61,10813.15,0,23.4,0.58,4.0
CLI-0236,Energy,37794843.32,21498.36,21169.44,0,15.4,-1.53,1.0
CLI-0237,Logistics,17650486.05,37796.05,39432.12,0,11.6,4.33,0.0
CLI-0238,Manufacturing,11631178.72,5967.27,10464.13,1,39.9,75.36,97.0
CLI-0239,Agriculture,9232426.09,14614.79,14363.25,0,13.1,-1.72,1.0
CLI-0240,Agriculture,43295882.67,14539.64,14884.42,0,29.8,2.37,14.0
CLI-0241,Retail,23693123.01,22168.93,21141.87,0,29.5,-4.63,13.0
CLI-0242,Logistics,44862172.43,49038.07,48914.34,0,25.9,-0.25,3.0
CLI-0243,Logistics,8594598.74,4307.62,4237.11,0,23.2,-1.64,0.0
CLI-0244,Retail,22340968.58,26416.35,27527.25,0,21.6,4.21,3.0
CLI-0245,Retail,34672021.08,9788.87,11817.14,1,37.9,20.72,98.0
CLI-0246,Retail,48489774.07,48563.15,49731.89,0,15.8,2.41,0.0
CLI-0247,Manufacturing,22531387.66,6551.87,6542.05,0,19.4,-0.15,3.0
CLI-0248,Logistics,39424025.7,20776.45,19915.06,0,22.4,-4.15,4.0
CLI-0249,Manufacturing,53728776.15,37156.36,66267.51,1,28.4,78.35,66.0
CLI-0250,Retail,38872475.35,35523.17,35928.8,0,18.5,1.14,1.0
CLI-0251,Logistics,17812771.11,21713.7,21141.78,0,16.6,-2.63,0.0
CLI-0252,Manufacturing,6342042.99,17979.68,17950.01,0,21.3,-0.17,2.0
CLI-0253,Manufacturing,52855438.06,20483.01,20337.89,0,27.0,-0.71,0.0
CLI-0254,Retail,6169817.6,13949.54,13356.54,0,14.0,-4.25,1.0
CLI-0255,Logistics,53108592.0,11061.31,10625.67,0,28.7,-3.94,2.0
CLI-0256,Retail,34091542.37,24668.95,25501.46,0,23.8,3.37,2.0
CLI-0257,Logistics,56648723.42,14158.15,13789.78,0,26.5,-2.6,3.0
CLI-0258,Agriculture,48933077.97,15085.62,19867.38,1,31.2,31.7,97.0
CLI-0259,Energy,59886376.08,33181.05,34072.78,0,25.6,2.69,17.0
CLI-0260,Energy,24289149.85,48458.33,46335.6,0,10.3,-4.38,0.0
CLI-0261,Energy,47195355.89,30578.22,30813.08,0,26.4,0.77,3.0
CLI-0262,Retail,27106200.25,4771.99,4590.28,0,10.8,-3.81,0.0
CLI-0263,Agriculture,31393159.12,4703.6,4485.57,0,27.8,-4.64,2.0
CLI-0264,Logistics,39512800.48,47619.74,45489.92,0,29.8,-4.47,3.0
CLI-0265,Manufacturing,53052241.28,15567.25,16087.45,0,15.9,3.34,0.0
CLI-0266,Logistics,59124590.81,5511.28,5300.73,0,14.2,-3.82,0.0
CLI-0267,Manufacturing,47255037.76,30353.18,28972.57,0,25.3,-4.55,3.0
CLI-0268,Logistics,27977173.02,31558.79,31362.81,0,15.1,-0.62,1.0
CLI-0269,Agriculture,28174635.13,32776.74,33904.24,0,27.3,3.44,16.0
CLI-0270,Manufacturing,45567026.59,14102.7,13767.63,0,12.1,-2.38,0.0
CLI-0271,Retail,18132743.02,1740.42,1726.79,0,12.5,-0.78,0.0
CLI-0272,Logistics,11076076.22,48285.75,46064.23,0,29.6,-4.6,4.0
CLI-0273,Logistics,24504218.67,13293.76,13226.07,0,23.5,-0.51,0.0
CLI-0274,Manufacturing,20798144.54,34125.29,34390.15,0,26.9,0.78,2.0
CLI-0275,Retail,21296946.63,35624.86,35877.47,0,16.5,0.71,4.0
CLI-0276,Retail,17848426.31,30890.36,30372.72,0,23.5,-1.68,0.0
CLI-0277,Agriculture,7315125.43,16332.46,16031.18,0,21.9,-1.84,0.0
CLI-0278,Retail,5983066.41,14283.72,18054.25,1,30.7,26.4,88.0
CLI-0279,Retail,59324731.44,30285.75,38150.86,1,36.3,25.97,100.0
CLI-0280,Retail,28527522.36,43438.69,77310.64,1,36.2,77.98,100.0
CLI-0281,Energy,26137965.59,47389.95,49120.02,0,18.6,3.65,0.0
CLI-0282,Agriculture,42380600.55,6189.38,6251.76,0,15.5,1.01,0.0
CLI-0283,Logistics,17003963.83,8586.6,13914.75,1,33.2,62.05,98.0
CLI-0284,Manufacturing,57247865.12,47292.08,47910.52,0,14.5,1.31,0.0
CLI-0285,Logistics,48248975.79,37090.23,36925.73,0,23.8,-0.44,1.0
CLI-0286,Agriculture,9917605.13,44266.7,44187.1,0,14.7,-0.18,0.0
CLI-0287,Manufacturing,27966942.67,10929.0,11210.72,0,22.5,2.58,0.0
CLI-0288,Agriculture,53351506.92,29791.71,40789.35,1,33.1,36.92,100.0
CLI-0289,Retail,56960261.23,35355.84,36857.2,0,14.4,4.25,4.0
CLI-0290,Manufacturing,30707083.12,34325.48,32802.2,0,11.2,-4.44,2.0
CLI-0291,Retail,38737626.41,20999.43,20969.26,0,12.6,-0.14,0.0
CLI-0292,Logistics,14186867.04,1754.35,1826.77,0,22.1,4.13,3.0
CLI-0293,Logistics,59514274.44,29563.38,29889.65,0,27.0,1.1,7.0
CLI-0294,Manufacturing,17741943.58,13401.98,13464.17,0,10.9,0.46,0.0
CLI-0295,Manufacturing,56850247.58,23062.46,22485.31,0,24.7,-2.5,4.0
CLI-0296,Agriculture,40730565.69,47921.47,67375.92,1,30.3,40.6,93.0
CLI-0297,Agriculture,38425523.72,20552.73,20674.44,0,19.6,0.59,0.0
CLI-0298,Retail,33197868.11,42150.28,42212.42,0,28.6,0.15,4.0
CLI-0299,Manufacturing,17686839.64,10238.49,9828.52,0,16.6,-4.0,0.0
CLI-0300,Logistics,14709041.76,33950.56,32307.45,0,19.3,-4.84,0.0
CLI-0301,Agriculture,17126741.5,48873.34,51139.52,0,10.3,4.64,0.0
CLI-0302,Agriculture,15254104.42,5992.76,5919.04,0,11.6,-1.23,0.0
CLI-0303,Logistics,47877146.05,1407.68,1422.21,0,15.2,1.03,4.0
CLI-0304,Agriculture,24256889.25,22245.56,21310.61,0,10.6,-4.2,7.0
CLI-0305,Retail,8181347.21,5538.65,8916.5,1,37.0,60.99,97.0
CLI-0306,Manufacturing,58300644.66,37670.83,37955.87,0,18.5,0.76,4.0
CLI-0307,Logistics,53608223.67,45812.88,44100.01,0,21.0,-3.74,3.0
CLI-0308,Manufacturing,56026375.58,22267.03,22449.0,0,13.5,0.82,0.0
CLI-0309,Agriculture,59719930.25,13676.87,14041.15,0,15.9,2.66,0.0
CLI-0310,Agriculture,14564238.71,22285.76,22077.2,0,23.3,-0.94,5.0
CLI-0311,Logistics,26793311.04,36448.94,62980.22,1,40.8,72.79,97.0
CLI-0312,Retail,46703116.16,1443.65,2511.3,1,22.2,73.95,62.0
CLI-0313,Energy,43281133.99,29883.25,28781.42,0,27.8,-3.69,7.0
CLI-0314,Logistics,13464274.85,31051.29,43031.34,1,28.6,38.58,71.0
CLI-0315,Energy,49870821.87,32246.72,33565.05,0,21.3,4.09,4.0
CLI-0316,Energy,17344231.45,12859.08,13193.93,0,20.0,2.6,0.0
CLI-0317,Retail,17309968.82,35988.58,36623.41,0,11.4,1.76,0.0
CLI-0318,Energy,34533593.26,5478.18,7563.06,1,18.6,38.06,60.0
CLI-0319,Energy,37611696.42,10764.25,11040.3,0,22.0,2.56,1.0
CLI-0320,Retail,36904741.43,43996.03,43882.34,0,16.8,-0.26,3.0
CLI-0321,Energy,10031776.06,37197.43,36177.44,0,28.3,-2.74,9.0
CLI-0322,Energy,53260347.44,1673.53,1693.05,0,18.1,1.17,1.0
